Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.79      1.11     0.01    50000     0.00     0.00  std::__detail::_Map_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<RmFileHandle, std::default_delete<RmFileHandle> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<RmFileHandle, std::default_delete<RmFileHandle> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::at(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.79      1.12     0.01    35000     0.00     0.00  IndexScanExecutor::IndexScanExecutor(SmManager*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<Condition, std::allocator<Condition> >, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, Context*, bool, TabCol, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.79      1.13     0.01    35000     0.00     0.00  Planner::get_index_cols(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<Condition, std::allocator<Condition> > const&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&)
  0.79      1.14     0.01    35000     0.00     0.00  IxIndexHandle::get_rid(Iid const&) const
  0.79      1.15     0.01    30000     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.79      1.16     0.01    30000     0.00     0.00  std::vector<std::shared_ptr<ast::TableRef>, std::allocator<std::shared_ptr<ast::TableRef> > >::push_back(std::shared_ptr<ast::TableRef> const&)
  0.79      1.17     0.01    25000     0.00     0.00  ProjectionExecutor::NextBatch(std::vector<std::unique_ptr<RmRecord, std::default_delete<RmRecord> >, std::allocator<std::unique_ptr<RmRecord, std::default_delete<RmRecord> > > >&, unsigned long)
  0.79      1.18     0.01    25000     0.00     0.00  ast::SelectStmt::~SelectStmt()
  0.79      1.19     0.01    25000     0.00     0.00  std::_Sp_counted_ptr_inplace<ast::SelectStmt, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.79      1.20     0.01    15000     0.00     0.00  ast::InsertStmt::~InsertStmt()
  0.79      1.21     0.01    10000     0.00     0.00  UpdateExecutor::Next()
  0.79      1.22     0.01    10000     0.00     0.00  IndexScanExecutor::rid()
  0.79      1.23     0.01    10000     0.00     0.00  void std::vector<SetClause, std::allocator<SetClause> >::_M_realloc_append<SetClause const&>(SetClause const&)
  0.79      1.24     0.01     5026     0.00     0.00  TransactionManager::commit(Transaction*, LogManager*)
  0.79      1.25     0.01     5000     0.00     0.01  SeqScanExecutor::beginTuple()
  0.79      1.26     0.01        9     1.11     1.11  std::_Sp_counted_ptr_inplace<RmFileHandle::SharedRecordState, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.79      1.27     0.01                             AbortActiveTransaction(long*, Context*)
  0.00      1.27     0.00  9497560     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<true>(char const*, unsigned long)
  0.00      1.27     0.00  2265513     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      1.27     0.00  1175017     0.00     0.00  void std::_Construct<AggregatePlan, std::shared_ptr<Plan>, std::vector<SelectTerm, std::allocator<SelectTerm> >&, std::vector<AggCall, std::allocator<AggCall> >&, std::vector<TabCol, std::allocator<TabCol> >&, std::vector<AggHavingCond, std::allocator<AggHavingCond> >&>(AggregatePlan*, std::shared_ptr<Plan>&&, std::vector<SelectTerm, std::allocator<SelectTerm> >&, std::vector<AggCall, std::allocator<AggCall> >&, std::vector<TabCol, std::allocator<TabCol> >&, std::vector<AggHavingCond, std::allocator<AggHavingCond> >&)
  0.00      1.27     0.00   690166     0.00     0.00  next_token(std::basic_string_view<char, std::char_traits<char> >, unsigned long*, std::basic_string_view<char, std::char_traits<char> >*)
  0.00      1.27     0.00   585000     0.00     0.00  TabCol::~TabCol()
  0.00      1.27     0.00   405000     0.00     0.00  RmScan::~RmScan()
  0.00      1.27     0.00   400102     0.00     0.00  iequals(std::basic_string_view<char, std::char_traits<char> >, char const*)
  0.00      1.27     0.00   400000     0.00     0.00  LockManager::unlock(Transaction*, LockDataId)
  0.00      1.27     0.00   375000     0.00     0.00  TabCol::TabCol(TabCol const&)
  0.00      1.27     0.00   350034     0.00     0.00  std::vector<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::allocator<std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::~vector()
  0.00      1.27     0.00   265008     0.00     0.00  RmFileHandle::GetFd()
  0.00      1.27     0.00   230051     0.00     0.00  std::vector<TabCol, std::allocator<TabCol> >::~vector()
  0.00      1.27     0.00   225000     0.00     0.00  LockManager::lock(Transaction*, LockDataId, LockManager::LockMode)
  0.00      1.27     0.00   225000     0.00     0.00  std::__detail::_Map_base<LockDataId, std::pair<LockDataId const, LockManager::LockRequestQueue>, std::allocator<std::pair<LockDataId const, LockManager::LockRequestQueue> >, std::__detail::_Select1st, std::equal_to<LockDataId>, std::hash<LockDataId>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](LockDataId const&)
  0.00      1.27     0.00   210000     0.00     0.00  std::vector<SetClause, std::allocator<SetClause> >::~vector()
  0.00      1.27     0.00   200000     0.00     0.00  eval_conds(char const*, std::vector<ColMeta, std::allocator<ColMeta> > const&, std::vector<Condition, std::allocator<Condition> > const&)
  0.00      1.27     0.00   200000     0.00     0.00  std::_Hashtable<LockDataId, LockDataId, std::allocator<LockDataId>, std::__detail::_Identity, std::equal_to<LockDataId>, std::hash<LockDataId>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<LockDataId, true>*, unsigned long)
  0.00      1.27     0.00   196013     0.00     0.00  LRUReplacer::unpin(int)
  0.00      1.27     0.00   196013     0.00     0.00  BufferPoolManager::unpin_page(PageId, bool)
  0.00      1.27     0.00   196013     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::_List_iterator<int> >, std::allocator<std::pair<int const, std::_List_iterator<int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<int const, std::_List_iterator<int> >, false>*, unsigned long)
  0.00      1.27     0.00   195000     0.00     0.00  ast::Col::~Col()
  0.00      1.27     0.00   195000     0.00     0.00  TransactionManager::HasMvccState() const
  0.00      1.27     0.00   195000     0.00     0.00  std::_Sp_counted_ptr_inplace<ast::Col, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      1.27     0.00   195000     0.00     0.00  std::_Sp_counted_ptr_inplace<ast::Col, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.27     0.00   185008     0.00     0.00  RmScan::is_end() const
  0.00      1.27     0.00   185000     0.00     0.00  std::_Sp_counted_ptr_inplace<RmRecord, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      1.27     0.00   185000     0.00     0.00  std::_Sp_counted_ptr_inplace<RmRecord, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.27     0.00   180000     0.00     0.00  Analyze::convert_sv_value(std::shared_ptr<ast::Value> const&)
  0.00      1.27     0.00   160060     0.00     0.00  void std::vector<ColMeta, std::allocator<ColMeta> >::_M_realloc_append<ColMeta const&>(ColMeta const&)
  0.00      1.27     0.00   160000     0.00     0.00  ast::IntLit::~IntLit()
  0.00      1.27     0.00   160000     0.00     0.00  std::_Sp_counted_ptr_inplace<ast::IntLit, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      1.27     0.00   160000     0.00     0.00  std::_Sp_counted_ptr_inplace<ast::IntLit, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.27     0.00   157270     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_append<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.27     0.00   150000     0.00     0.00  SeqScanExecutor::load_visible_current()
  0.00      1.27     0.00   150000     0.00     0.00  RmScan::next()
  0.00      1.27     0.00   150000     0.00     0.00  RmScan::rid() const
  0.00      1.27     0.00   135034     0.00     0.00  std::vector<ColMeta, std::allocator<ColMeta> >::~vector()
  0.00      1.27     0.00   125000     0.00     0.00  IndexScanExecutor::cols() const
  0.00      1.27     0.00   120402     0.00     0.00  IxNodeHandle::upper_bound(char const*) const
  0.00      1.27     0.00   120000     0.00     0.00  ast::SelectItem::~SelectItem()
  0.00      1.27     0.00   120000     0.00     0.00  std::_Sp_counted_ptr_inplace<ast::SelectItem, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      1.27     0.00   120000     0.00     0.00  std::_Sp_counted_ptr_inplace<ast::SelectItem, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.27     0.00   115000     0.00     0.00  Value::~Value()
  0.00      1.27     0.00   105034     0.00     0.00  std::shared_ptr<ast::TxnAbort> std::dynamic_pointer_cast<ast::TxnAbort, ast::TreeNode>(std::shared_ptr<ast::TreeNode> const&)
  0.00      1.27     0.00   105017     0.00     0.00  DbMeta::get_table(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.27     0.00   105000     0.00     0.00  IxScan::is_end() const
  0.00      1.27     0.00   100034     0.00     0.00  std::shared_ptr<ast::TxnRollback> std::dynamic_pointer_cast<ast::TxnRollback, ast::TreeNode>(std::shared_ptr<ast::TreeNode> const&)
  0.00      1.27     0.00   100034     0.00     0.00  std::shared_ptr<ast::StaticCheckpoint> std::dynamic_pointer_cast<ast::StaticCheckpoint, ast::TreeNode>(std::shared_ptr<ast::TreeNode> const&)
  0.00      1.27     0.00   100034     0.00     0.00  std::shared_ptr<ast::SetStmt> std::dynamic_pointer_cast<ast::SetStmt, ast::TreeNode>(std::shared_ptr<ast::TreeNode> const&)
  0.00      1.27     0.00    90000     0.00     0.00  ColMeta* std::__do_uninit_copy<std::move_iterator<ColMeta*>, std::move_iterator<ColMeta*>, ColMeta*>(std::move_iterator<ColMeta*>, std::move_iterator<ColMeta*>, ColMeta*)
  0.00      1.27     0.00    80000     0.00     0.00  void std::vector<SelectTerm, std::allocator<SelectTerm> >::_M_realloc_append<SelectTerm const&>(SelectTerm const&)
  0.00      1.27     0.00    80000     0.00     0.00  void std::vector<TabCol, std::allocator<TabCol> >::_M_realloc_append<TabCol const&>(TabCol const&)
  0.00      1.27     0.00    75000     0.00     0.00  Condition::Condition(Condition const&)
  0.00      1.27     0.00    75000     0.00     0.00  void std::vector<Condition, std::allocator<Condition> >::_M_realloc_append<Condition const&>(Condition const&)
  0.00      1.27     0.00    70000     0.00     0.00  IndexScanExecutor::advance_to_next_match()
  0.00      1.27     0.00    70000     0.00     0.00  ast::BinaryExpr::~BinaryExpr()
  0.00      1.27     0.00    70000     0.00     0.00  SeqScanExecutor::tupleLen() const
  0.00      1.27     0.00    70000     0.00     0.00  IndexScanExecutor::is_end() const
  0.00      1.27     0.00    70000     0.00     0.00  std::_Sp_counted_ptr_inplace<ast::BinaryExpr, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
